,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,latitude,longitude,zipcode
209,210,0.114851983372,0.000453155131253,Sheepshead Bay,210,Brooklyn,40.59377082857791,-73.9391962097623,11235
210,211,0.0252345082132,3.97291966087e-05,SoHo,211,Manhattan,40.72371648291452,-74.00108192197239,10012
211,212,0.0671290653429,0.000161276191858,Soundview/Bruckner,212,Bronx,40.82828767607801,-73.87039556671365,10472
212,213,0.159958783822,0.000904077906339,Soundview/Castle Hill,213,Bronx,40.816731370792056,-73.86027521405913,10473
213,214,0.135300314246,0.000811976523012,South Beach/Dongan Hills,214,Staten Island,40.58661635006406,-74.08480864561312,10305
214,215,0.103556453625,0.000395647022725,South Jamaica,215,Queens,40.69419208698072,-73.79230112190288,11433
215,216,0.116797554681,0.000816076647781,South Ozone Park,216,Queens,40.677222522161365,-73.82062521890268,11420
216,217,0.0553905251285,0.000114733270758,South Williamsburg,217,Brooklyn,40.7032320056805,-73.95772171969621,11211
217,218,0.0837008281049,0.000281293736407,Springfield Gardens North,218,Queens,40.67348236381235,-73.77287378904317,11434
218,219,0.155126669675,0.000428176336771,Springfield Gardens South,219,Queens,40.66030816955596,-73.77031766231762,11434
219,220,0.106015943267,0.000313035744467,Spuyten Duyvil/Kingsbridge,220,Bronx,40.88184930807984,-73.91076089177298,10463
220,221,0.166218220846,0.000890111567051,Stapleton,221,Staten Island,40.62023024721676,-74.072363266337,10304
221,222,0.0483893527976,0.000130268343918,Starrett City,222,Brooklyn,40.64671811250597,-73.882917796064,11239
222,223,0.166021925275,0.00076436070058,Steinway,223,Queens,40.778406838788975,-73.90583210697467,11105
223,224,0.0440204462769,9.84786989135e-05,Stuy Town/Peter Cooper Village,224,Manhattan,40.731710157444574,-73.9769805471532,10009
224,225,0.0887992073281,0.000310835395162,Stuyvesant Heights,225,Brooklyn,40.688714833719835,-73.93012296976369,11221
225,226,0.168957762041,0.00076194414504,Sunnyside,226,Queens,40.73524693575397,-73.92653049129719,11377
226,227,0.0828301570789,0.000268316529534,Sunset Park East,227,Brooklyn,40.64153479500538,-74.0029480543899,11220
227,228,0.177685177706,0.000993414783816,Sunset Park West,228,Brooklyn,40.65359300851703,-74.00996120455362,11232
228,229,0.0425252900116,9.47058230931e-05,Sutton Place/Turtle Bay North,229,Manhattan,40.75657342350862,-73.96499770371872,10022
229,230,0.0310283096779,5.60914463266e-05,Times Sq/Theatre District,230,Manhattan,40.759816935371866,-73.98419649030515,10036
230,231,0.0634201165587,0.000166929752992,TriBeCa/Civic Center,231,Manhattan,40.71857653319885,-74.00726407589688,10013
231,232,0.0614709085331,0.000216049973456,Two Bridges/Seward Park,232,Manhattan,40.71529952203663,-73.98302174649305,10002
232,233,0.048035918294,0.000116188094682,UN/Turtle Bay South,233,Manhattan,40.74912352340265,-73.9699792454683,10017
233,234,0.0360721994984,7.31054382894e-05,Union Sq,234,Manhattan,40.74023673754262,-73.99045769686899,10010
234,235,0.0761668426519,0.000212844547337,University Heights/Morris Heights,235,Bronx,40.853709874599296,-73.91638080821232,10453
235,236,0.0442519223099,0.000102864345211,Upper East Side North,236,Manhattan,40.78043963903396,-73.95701007786707,10028
236,237,0.0422126003388,9.59873206621e-05,Upper East Side South,237,Manhattan,40.76861401615748,-73.96563559607029,10065
237,238,0.0601093114033,0.000184763693765,Upper West Side North,238,Manhattan,40.79178334130001,-73.9730312061259,10025
238,239,0.0636261152958,0.000204715440774,Upper West Side South,239,Manhattan,40.78402467184409,-73.97873165557294,10024
239,240,0.146069764379,0.000722130920707,Van Cortlandt Park,240,Bronx,40.89477155956185,-73.88053624317433,10468
240,241,0.0687645777649,0.00025467697592,Van Cortlandt Village,241,Bronx,40.87601241184217,-73.89587874426599,10468
241,242,0.138136446433,0.000360072450014,Van Nest/Morris Park,242,Bronx,40.84965337341624,-73.85104022621752,10461
